Godina,Zanr,BrojPesama
1998,Alternative,2
1998,Rock,2
2002,Hip Hop,2
2002,RnB,1
2018,Hip Hop,1
2016,Pop,2
2016,Electronic,1
2016,Latin,1
2016,Folk,1
2016,Ballad,1
2006,Hip Hop,1
2015,Pop,3
2015,Latin,1
2015,Folk,1
2015,Children,1
2019,Pop,5
2019,Folk,1
2019,Alternative,1
2019,Dancehall,1
2019,Latin,1
2019,Electronic,1
1988,Pop,3
2011,Electronic,1
2011,Pop,1
2011,Religious,1
2011,Folk,1
2008,Pop,1
2008,Rock,1
1997,Pop,1
2013,Soul,1
2013,Religious,1
2013,Rock,1
2013,Pop,1
2013,Folk,1
2013,Alternative,1
1982,Rock,1
1982,Latin,1
2009,Rock,1
2009,Pop,1
2009,Schlager,1
1991,Rock,1
1999,Rock,1
1999,Pop,2
1999,Alternative,1
1999,Schlager,1
2010,Soul,1
2010,RnB,1
2010,Pop,1
1990,Pop,1
2021,Electronic,1
2021,Pop,1
2014,Soul,1
2014,Pop,2
2014,Latin,1
2014,Folk,1
1981,Rock,1
1985,Rock,1
1970,Latin,1
1970,Jazz,1
1970,Pop,1
1970,Ballad,1
2005,Latin,1
1969,Soul,1
1969,Rock,1
1969,Pop,1
2007,Pop,1
2001,Traditional,1
2000,Pop,1
1996,Hip Hop,1
1968,Pop,1
